data, sillyHash, FirstLetter, WordLen, LetterSum, Rolleft, MyHash, 
 0, 0, 0, 0, 15, 60, 56, 
1, 72590, 0, 37, 1, 49, 38, 
2, 0, 0, 317, 11, 78, 52, 
3, 0, 0, 1197, 17, 39, 58, 
4, 0, 0, 4165, 14, 62, 44, 
5, 0, 0, 8955, 8, 55, 59, 
6, 0, 0, 11563, 12, 64, 57, 
7, 0, 0, 12440, 10, 50, 59, 
8, 0, 0, 11303, 9, 61, 40, 
9, 0, 0, 8727, 17, 47, 58, 
10, 0, 0, 5967, 13, 56, 43, 
11, 0, 0, 3643, 15, 53, 60, 
12, 0, 0, 2111, 8, 60, 58, 
13, 0, 0, 1051, 11, 46, 53, 
14, 0, 0, 567, 19, 77, 50, 
15, 0, 0, 277, 10, 56, 61, 
16, 0, 0, 142, 16, 67, 55, 
17, 0, 0, 56, 15, 45, 45, 
18, 0, 0, 28, 9, 41, 55, 
19, 0, 0, 14, 11, 58, 54, 
20, 0, 0, 10, 10, 56, 60, 
21, 0, 0, 5, 13, 50, 49, 
22, 0, 0, 4, 11, 48, 50, 
23, 0, 0, 2, 11, 50, 57, 
24, 0, 0, 2, 13, 39, 47, 
25, 0, 0, 1, 10, 50, 62, 
26, 0, 0, 0, 11, 64, 52, 
27, 0, 0, 1, 9, 55, 52, 
28, 0, 0, 2, 11, 65, 46, 
29, 0, 0, 0, 22, 64, 54, 
30, 0, 0, 1, 8, 63, 62, 
31, 0, 0, 0, 21, 55, 51, 
32, 0, 0, 1, 8, 77, 64, 
33, 0, 0, 0, 13, 48, 60, 
34, 0, 86, 0, 17, 49, 51, 
35, 0, 1, 0, 11, 49, 45, 
36, 0, 0, 0, 14, 65, 47, 
37, 0, 0, 1, 12, 40, 74, 
38, 0, 5, 0, 14, 56, 50, 
39, 0, 822, 0, 7, 41, 63, 
40, 0, 164, 0, 11, 61, 53, 
41, 0, 0, 0, 9, 40, 78, 
42, 0, 15, 0, 14, 60, 49, 
43, 0, 0, 0, 14, 56, 47, 
44, 0, 0, 0, 10, 69, 40, 
45, 0, 36, 0, 10, 50, 55, 
46, 0, 8, 0, 8, 41, 57, 
47, 0, 1, 0, 12, 53, 42, 
48, 0, 1, 0, 15, 62, 59, 
49, 0, 123, 0, 11, 49, 47, 
50, 0, 17, 0, 14, 58, 59, 
51, 0, 13, 0, 6, 56, 55, 
52, 0, 12, 0, 11, 75, 61, 
53, 0, 12, 0, 11, 35, 54, 
54, 0, 14, 0, 9, 56, 58, 
55, 0, 12, 0, 14, 50, 74, 
56, 0, 12, 0, 10, 53, 65, 
57, 0, 12, 0, 11, 51, 39, 
58, 0, 1, 0, 8, 46, 52, 
59, 0, 0, 0, 8, 54, 49, 
60, 0, 4, 0, 14, 55, 41, 
61, 0, 0, 0, 13, 46, 59, 
62, 0, 3, 0, 6, 55, 38, 
63, 0, 2, 0, 7, 42, 61, 
64, 0, 0, 0, 6, 63, 66, 
65, 0, 1211, 0, 4, 52, 64, 
66, 0, 1020, 0, 10, 60, 63, 
67, 0, 1469, 0, 5, 35, 44, 
68, 0, 872, 0, 9, 54, 58, 
69, 0, 600, 0, 2, 35, 53, 
70, 0, 737, 0, 8, 56, 52, 
71, 0, 659, 0, 9, 46, 56, 
72, 0, 746, 0, 11, 50, 41, 
73, 0, 397, 0, 6, 54, 69, 
74, 0, 254, 0, 8, 51, 54, 
75, 0, 176, 0, 9, 52, 58, 
76, 0, 740, 0, 6, 49, 54, 
77, 0, 1000, 0, 9, 37, 57, 
78, 0, 386, 0, 6, 62, 42, 
79, 0, 361, 0, 8, 45, 51, 
80, 0, 1275, 0, 6, 52, 67, 
81, 0, 80, 0, 4, 48, 58, 
82, 0, 631, 0, 9, 74, 55, 
83, 0, 1561, 0, 6, 47, 64, 
84, 0, 930, 0, 4, 69, 54, 
85, 0, 193, 0, 7, 58, 47, 
86, 0, 286, 0, 9, 59, 50, 
87, 0, 593, 0, 6, 60, 53, 
88, 0, 62, 0, 9, 87, 50, 
89, 0, 87, 0, 3, 44, 73, 
90, 0, 15, 0, 9, 52, 45, 
91, 0, 455, 0, 6, 54, 59, 
92, 0, 0, 0, 6, 72, 56, 
93, 0, 2, 0, 11, 55, 57, 
94, 0, 0, 0, 6, 59, 47, 
95, 0, 1, 0, 8, 33, 49, 
96, 0, 140, 0, 7, 73, 54, 
97, 0, 2901, 0, 11, 56, 52, 
98, 0, 3473, 0, 9, 54, 57, 
99, 0, 4749, 0, 9, 50, 42, 
100, 0, 3422, 0, 11, 44, 49, 
101, 0, 1964, 0, 13, 50, 56, 
102, 0, 2944, 0, 14, 59, 56, 
103, 0, 1773, 0, 13, 38, 58, 
104, 0, 2363, 0, 17, 81, 58, 
105, 0, 1530, 0, 17, 53, 49, 
106, 0, 380, 0, 13, 53, 59, 
107, 0, 500, 0, 15, 46, 66, 
108, 0, 2049, 0, 9, 70, 47, 
109, 0, 2716, 0, 12, 47, 58, 
110, 0, 996, 0, 12, 74, 60, 
111, 0, 1326, 0, 8, 49, 52, 
112, 0, 3964, 0, 14, 59, 52, 
113, 0, 273, 0, 10, 39, 52, 
114, 0, 2531, 0, 7, 59, 47, 
115, 0, 6392, 0, 5, 45, 56, 
116, 0, 2997, 0, 4, 63, 53, 
117, 0, 1299, 0, 9, 57, 67, 
118, 0, 839, 0, 9, 60, 58, 
119, 0, 2375, 0, 13, 54, 56, 
120, 0, 1, 0, 5, 51, 57, 
121, 0, 274, 0, 10, 42, 43, 
122, 0, 24, 0, 13, 62, 52, 
123, 0, 205, 0, 11, 44, 67, 
124, 0, 0, 0, 10, 60, 54, 
125, 0, 1, 0, 6, 50, 61, 
126, 0, 0, 0, 11, 60, 48, 
127, 0, 0, 0, 4, 42, 53, 
128, 0, 0, 0, 7, 64, 62, 
129, 0, 0, 0, 5, 50, 63, 
130, 0, 0, 0, 8, 48, 55, 
131, 0, 0, 0, 7, 47, 63, 
132, 0, 0, 0, 10, 57, 57, 
133, 0, 0, 0, 6, 46, 57, 
134, 0, 0, 0, 8, 57, 58, 
135, 0, 0, 0, 7, 38, 66, 
136, 0, 0, 0, 13, 59, 54, 
137, 0, 0, 0, 14, 49, 61, 
138, 0, 0, 0, 6, 71, 66, 
139, 0, 0, 0, 9, 43, 58, 
140, 0, 0, 0, 4, 58, 33, 
141, 0, 0, 0, 12, 36, 38, 
142, 0, 0, 0, 8, 71, 55, 
143, 0, 0, 0, 10, 31, 44, 
144, 0, 0, 0, 8, 70, 54, 
